base_feature,tuned_feature,decoder_cosine,base_frequency,tuned_frequency,frequency_delta,frequency_delta_abs,base_mean_activation,tuned_mean_activation,mean_activation_delta,category
915,915,0.9902762,0.01488,0.96673995,0.95185995,0.95185995,0.0013025613,0.15475166,0.1534491,frequency_shifted
5848,5848,0.9902872,0.01756,0.97088,0.95331997,0.95331997,0.0024789702,0.17457771,0.17209874,frequency_shifted
758,758,0.9902947,0.0013,0.96677,0.96547,0.96547,3.8825736e-05,0.14179394,0.1417551,frequency_shifted
2079,2079,0.99032927,0.008909999,0.97235,0.96344,0.96344,0.0009459535,0.19376843,0.19282247,frequency_shifted
2802,2802,0.9903493,0.00099,0.96787,0.96688,0.96688,3.1542517e-05,0.15562364,0.1555921,frequency_shifted
3600,3600,0.9903556,0.96992,0.01153,-0.95839,0.95839,0.17541179,0.00067876495,-0.17473303,frequency_shifted
2555,2555,0.990409,0.01371,0.9781,0.96439,0.96439,0.0008328148,0.18964949,0.18881668,frequency_shifted
5963,5963,0.9904505,0.97779,0.017239999,-0.96055,0.96055,0.16986215,0.0043224054,-0.16553974,frequency_shifted
682,682,0.9904775,0.00616,0.97249997,0.96633995,0.96633995,6.9901434e-05,0.2046438,0.2045739,frequency_shifted
1346,1346,0.99050415,0.0093,0.97021997,0.96092,0.96092,0.0012283822,0.18592113,0.18469276,frequency_shifted
297,297,0.99053293,0.96703,0.00909,-0.95794,0.95794,0.15209828,0.0005573103,-0.15154098,frequency_shifted
554,554,0.9905407,0.01781,0.97748995,0.95967996,0.95967996,0.0050902525,0.15833063,0.15324038,frequency_shifted
971,971,0.9905953,0.01523,0.96604997,0.95081997,0.95081997,0.0014125308,0.14035955,0.13894702,frequency_shifted
2087,2087,0.9906179,0.97148997,0.0121,-0.95939,0.95939,0.20218794,0.0009196834,-0.20126826,frequency_shifted
2483,2483,0.99063593,0.017509999,0.96426,0.94675,0.94675,0.0023134744,0.12439308,0.12207961,frequency_shifted
3264,3264,0.9906401,0.0177,0.9666,0.9489,0.9489,0.00240979,0.15202338,0.14961359,frequency_shifted
470,470,0.990659,0.96847,0.00119,-0.96728,0.96728,0.16512085,2.9626233e-05,-0.16509123,frequency_shifted
1155,1155,0.99066174,0.96858996,0.01376,-0.95483,0.95483,0.14800882,0.00071584334,-0.14729299,frequency_shifted
888,888,0.9907323,0.01786,0.98521,0.96735,0.96735,0.002770155,0.17055665,0.1677865,frequency_shifted
3903,3903,0.9907374,0.01762,0.98152,0.96389997,0.96389997,0.0054783863,0.14714435,0.14166597,frequency_shifted
4579,4579,0.9907578,0.01764,0.97154,0.9539,0.9539,0.0014324086,0.20274204,0.20130964,frequency_shifted
4702,4702,0.9907907,0.01646,0.96945995,0.95299995,0.95299995,0.0023575446,0.16763619,0.16527864,frequency_shifted
